tuning_scope,feature_set,alpha,shrinkage,inner_fold_count,mean_inner_fold_mae,median_inner_fold_mae,worst_inner_fold_mae,best_inner_fold_mae,mean_active_features,minimum_active_features,maximum_active_features
outer_test=K20_to_K21,history_plus_dynamic_socio,10.0,1.0,2,20.889263589616455,20.889263589616455,24.36348278320143,17.415044396031476,90.5,90,91
outer_test=K20_to_K21,history_plus_nonidentity_levels_and_dynamic,1000.0,0.25,2,7.146854948897144,7.146854948897144,7.913312121134503,6.380397776659786,170.5,170,171
outer_test=K20_to_K21,history_plus_nonidentity_levels_and_dynamic,100.0,0.25,2,8.351081199061008,8.351081199061008,9.755837824785626,6.94632457333639,170.5,170,171
outer_test=K20_to_K21,history_plus_nonidentity_levels_and_dynamic,10.0,0.25,2,8.507502173168572,8.507502173168572,10.051413848756614,6.963590497580529,170.5,170,171
outer_test=K20_to_K21,history_plus_nonidentity_levels_and_dynamic,1000.0,0.5,2,10.611013105156873,10.611013105156873,12.203299277492947,9.0187269328208,170.5,170,171
outer_test=K20_to_K21,history_plus_nonidentity_levels_and_dynamic,100.0,0.5,2,13.178671776404114,13.178671776404114,15.933837306124415,10.423506246683813,170.5,170,171
outer_test=K20_to_K21,history_plus_nonidentity_levels_and_dynamic,10.0,0.5,2,13.50659371171786,13.50659371171786,16.475969542184192,10.537217881251529,170.5,170,171
outer_test=K20_to_K21,history_plus_nonidentity_levels_and_dynamic,1000.0,1.0,2,17.181548825685624,17.181548825685624,19.786964372460254,14.576133278910998,170.5,170,171
outer_test=K20_to_K21,history_plus_nonidentity_levels_and_dynamic,100.0,1.0,2,20.15995557133407,20.15995557133407,23.68477143643602,16.63513970623212,170.5,170,171
outer_test=K20_to_K21,history_plus_nonidentity_levels_and_dynamic,10.0,1.0,2,20.481786474477182,20.481786474477182,24.108397204902943,16.855175744051426,170.5,170,171
outer_test=K20_to_K21,history_plus_all_socio_sensitivity,1000.0,0.25,2,7.146925875762848,7.146925875762848,7.913747098861567,6.38010465266413,172.5,172,173
outer_test=K20_to_K21,history_plus_all_socio_sensitivity,100.0,0.25,2,8.35075262547158,8.35075262547158,9.756101042061868,6.9454042088812935,172.5,172,173
outer_test=K20_to_K21,history_plus_all_socio_sensitivity,10.0,0.25,2,8.50564099397099,8.50564099397099,10.049316574097034,6.961965413844947,172.5,172,173
outer_test=K20_to_K21,history_plus_all_socio_sensitivity,1000.0,0.5,2,10.610823025345791,10.610823025345791,12.203428039774707,9.018218010916877,172.5,172,173
outer_test=K20_to_K21,history_plus_all_socio_sensitivity,100.0,0.5,2,13.17766197860767,13.17766197860767,15.934789737029554,10.420534220185786,172.5,172,173
outer_test=K20_to_K21,history_plus_all_socio_sensitivity,10.0,0.5,2,13.503373182856642,13.503373182856642,16.472992907936337,10.533753457776944,172.5,172,173
outer_test=K20_to_K21,history_plus_all_socio_sensitivity,1000.0,1.0,2,17.179121802559656,17.179121802559656,19.786634345510695,14.571609259608616,172.5,172,173
outer_test=K20_to_K21,history_plus_all_socio_sensitivity,100.0,1.0,2,20.15632571394751,20.15632571394751,23.685128702637996,16.627522725257027,172.5,172,173
outer_test=K20_to_K21,history_plus_all_socio_sensitivity,10.0,1.0,2,20.478186438431575,20.478186438431575,24.105849103374453,16.850523773488696,172.5,172,173
outer_test=K20_to_K21,history_plus_locality_identity_diagnostic,1000.0,0.25,2,6.869948433793352,6.869948433793352,7.561002213451441,6.178894654135263,234.5,234,235
outer_test=K20_to_K21,history_plus_locality_identity_diagnostic,100.0,0.25,2,7.896630211396321,7.896630211396321,9.236028164692286,6.557232258100355,234.5,234,235
outer_test=K20_to_K21,history_plus_locality_identity_diagnostic,10.0,0.25,2,8.00682110193712,8.00682110193712,9.499842389191489,6.51379981468275,234.5,234,235
outer_test=K20_to_K21,history_plus_locality_identity_diagnostic,1000.0,0.5,2,9.820762353551856,9.820762353551856,11.3732062249058,8.268318482197913,234.5,234,235
outer_test=K20_to_K21,history_plus_locality_identity_diagnostic,100.0,0.5,2,11.942318390208188,11.942318390208188,14.82879577051864,9.055841009897735,234.5,234,235
outer_test=K20_to_K21,history_plus_locality_identity_diagnostic,10.0,0.5,2,12.185256806899798,12.185256806899798,15.312593612586618,9.057920001212977,234.5,234,235
outer_test=K20_to_K21,history_plus_locality_identity_diagnostic,1000.0,1.0,2,15.814225432183463,15.814225432183463,18.745654576194354,12.882796288172571,234.5,234,235
outer_test=K20_to_K21,history_plus_locality_identity_diagnostic,100.0,1.0,2,18.24022913732185,18.24022913732185,22.47908793104314,14.001370343600561,234.5,234,235
outer_test=K20_to_K21,history_plus_locality_identity_diagnostic,10.0,1.0,2,18.398978015556768,18.398978015556768,22.84425332441426,13.953702706699273,234.5,234,235
outer_test=K21_to_K22,history_only,1000.0,0.25,3,5.9247348006476335,6.509716375557339,8.236169333092414,3.0283186932931474,9.666666666666666,9,10
outer_test=K21_to_K22,history_only,100.0,0.25,3,6.612502764199168,6.887054784217855,9.681023848975544,3.2694296594041066,9.666666666666666,9,10
outer_test=K21_to_K22,history_only,10.0,0.25,3,6.706850696677936,6.926855111499343,9.882805405656084,3.310891572878379,9.666666666666666,9,10
outer_test=K21_to_K22,history_only,1000.0,0.5,3,8.567786955170016,9.048680371471196,12.673806102425727,3.9808743916131233,9.666666666666666,9,10
outer_test=K21_to_K22,history_only,100.0,0.5,3,10.20511964081275,9.966004126232768,15.716308769426618,4.933046026778864,9.666666666666666,9,10
outer_test=K21_to_K22,history_only,10.0,0.5,3,10.419425561544502,10.057516080876308,16.11619209098725,5.084568512769946,9.666666666666666,9,10
outer_test=K21_to_K22,history_only,1000.0,1.0,3,14.470257670213789,14.615389746838158,20.667029078528227,8.128354185274981,9.666666666666666,9,10
outer_test=K21_to_K22,history_only,100.0,1.0,3,16.880702925481696,16.088463627299234,23.82409635157746,10.729548797568391,9.666666666666666,9,10
outer_test=K21_to_K22,history_only,10.0,1.0,3,17.147769153258647,16.19617469329826,24.137144226596117,11.109988539881561,9.666666666666666,9,10
outer_test=K21_to_K22,history_plus_dynamic_socio,1000.0,0.25,3,5.83537239512339,6.4019424020128435,7.975000547561403,3.129174235795921,91.66666666666667,90,94
