feature,source,2019,2020,2021,2022,2023,years_available,available_all_2019_2023,available_2022_and_2023
income__בעלי הכנסה משכר ועסקית מספר,income,False,False,True,True,True,3,False,True
income__בעלי הכנסה משכר ועסקית שכר ממוצע,income,False,False,True,True,True,3,False,True
income__בעלי הכנסה משכר מספר,income,False,False,True,True,True,3,False,True
income__בעלי הכנסה משכר שכר ממוצע,income,False,False,True,True,True,3,False,True
income__בעלי הכנסה עסקית מספר,income,False,False,True,True,True,3,False,True
income__בעלי הכנסה עסקית שכר ממוצע,income,False,False,True,True,True,3,False,True
income__גברים מספר בעלי הכנסה,income,False,False,True,True,True,3,False,True
income__גברים שכר ממוצע,income,False,False,True,True,True,3,False,True
"income__הכנסה ממוצעת לחודש של העצמאים (ש""ח",income,True,False,False,False,False,1,False,False
income__כלל בעלי הכנסה מספר,income,False,False,True,True,True,3,False,True
income__כלל בעלי הכנסה שכר ממוצע,income,False,False,True,True,True,3,False,True
"income__מדד אי-השוויון שכירים (מדד ג'יני, 0 שוויון מלא",income,True,False,False,False,False,1,False,False
income__מספר העצמאים,income,True,False,False,False,False,1,False,False
income__מספר השכירים,income,True,False,False,False,False,1,False,False
income__נשים מספר בעלי הכנסה,income,False,False,True,True,True,3,False,True
income__נשים שכר ממוצע,income,False,False,True,True,True,3,False,True
income__שכירים השתכרים מתחת לשכר המינימום מספר,income,False,False,True,True,True,3,False,True
"income__שכר ממוצע לחודש של שכירים (ש""ח) גברים",income,True,True,False,False,False,2,False,False
"income__שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",income,True,True,False,False,False,2,False,False
"income__שכר ממוצע לחודש של שכירים (ש""ח) נשים",income,True,True,False,False,False,2,False,False
income_standard__avg_monthly_wage_men,income_standard,True,True,True,True,True,5,True,True
income_standard__avg_monthly_wage_total,income_standard,True,True,True,True,True,5,True,True
income_standard__avg_monthly_wage_women,income_standard,True,True,True,True,True,5,True,True
income_standard__below_minimum_wage_count,income_standard,False,False,True,True,True,3,False,True
income_standard__gender_wage_ratio,income_standard,True,True,True,True,True,5,True,True
income_standard__gini_wage,income_standard,True,False,False,False,False,1,False,False
income_standard__gini_wage_2019_static,income_standard,True,True,True,True,True,5,True,True
income_standard__income_earner_count,income_standard,True,False,True,True,True,4,False,True
income_standard__pct_below_minimum_wage,income_standard,True,False,True,True,True,4,False,True
income_standard__pct_below_minimum_wage_direct,income_standard,True,False,False,False,False,1,False,False
"welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים כללית",welfare,True,True,True,True,True,5,True,True
"welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים לאומית",welfare,True,True,True,True,True,5,True,True
"welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מאוחדת",welfare,True,True,True,True,True,5,True,True
"welfare__אחוז המבוטחים בקופ""ח מתוך סך כל המבוטחים מכבי",welfare,True,True,True,True,True,5,True,True
"welfare__אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי",welfare,True,True,True,True,True,5,True,True
"welfare__אחוז מקבלי דמי אבטלה מבני 67-20
(שנתי",welfare,True,True,True,True,True,5,True,True
welfare__אחוז מקבלי השלמת הכנסה מבין מקבלי קצבאות זקנה ושאירים (סוף שנה,welfare,True,True,True,True,True,5,True,True
"welfare__גיל ממוצע של מקבלי דמי אבטלה
(לא כולל חיילים",welfare,True,True,True,True,True,5,True,True
"welfare__דמי אבטלה ממוצעים ליום
(ש""ח",welfare,True,True,True,True,True,5,True,True
"welfare__ימי זכאות לדמי אבטלה
(ממוצע שנתי",welfare,True,True,True,True,True,5,True,True
welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 2-1 ילדים,welfare,True,True,True,True,True,5,True,True
welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,welfare,True,True,True,True,True,5,True,True
welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר,welfare,True,True,True,True,True,5,True,True
"welfare__מספר ילדים שבגינם שולמו קצבאות סה""כ",welfare,True,True,True,True,True,5,True,True
"welfare__מספר מקבלי דמי אבטלה 
(סה""כ שנתי",welfare,True,True,True,True,True,5,True,True
"welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",welfare,True,True,True,True,True,5,True,True
welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,welfare,True,True,True,True,True,5,True,True
welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,welfare,True,True,True,True,True,5,True,True
welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,welfare,True,True,True,True,True,5,True,True
welfare__מקבלי גמלאות ניידות (סוף שנה,welfare,True,True,True,True,True,5,True,True
welfare__מקבלי גמלאות נכות כללית (סוף שנה,welfare,True,True,True,True,True,5,True,True
welfare__מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה,welfare,True,True,True,True,True,5,True,True
welfare__מקבלי גמלאות סיעוד (סוף שנה,welfare,True,True,True,True,True,5,True,True
"welfare__מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה",welfare,True,True,True,True,True,5,True,True
"welfare__מקבלי דמי אבטלה 
(ממוצע חודשי) גברים",welfare,True,True,True,True,True,5,True,True
"welfare__מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ",welfare,True,True,True,True,True,5,True,True
"welfare__מקבלי הכשרה מקצועית
סה""כ",welfare,True,True,True,False,False,3,False,False
"welfare__מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה",welfare,True,True,True,True,True,5,True,True
"welfare__ניצול ימי אבטלה בשנה 
(חציון שנתי",welfare,True,True,True,True,True,5,True,True
"welfare__ניצול ימי אבטלה בשנה 
(ממוצע שנתי",welfare,True,True,True,True,True,5,True,True
welfare_engineered__children_in_families_with_5plus_children_per_1000,welfare_engineered,True,True,True,True,True,5,True,True
