feature_set,target_bloc,feature,folds_present,mean_effective_coefficient,mean_absolute_effective_coefficient,coefficient_standard_deviation,positive_fold_share
history_plus_all_socio_sensitivity,Arab,missing__demographic__השתקעות_ראשונה_של_עולים_2015__level,3,-0.00904723981911889,0.009047239819118888,0.0009836178005839464,0.0
history_plus_all_socio_sensitivity,Arab,missing__unemployment__מקבלי_גמלת_הבטחת_הכנסה_נפשות_במשך_השנה__level,5,0.009007532291922148,0.009007532291922148,0.004504155380140125,1.0
history_plus_all_socio_sensitivity,Arab,education__עובדי_הוראה_ממוצע_שעות_עבודה_לשבוע__level,1,0.008859149398888624,0.008859149398888624,,1.0
history_plus_all_socio_sensitivity,Arab,demographic__אחוז_עולים_בני_65_ומעלה_בהשתקעות_ראשונה_2015__level,3,-0.008775060360735219,0.008775060360735219,0.0009603307554578199,0.0
history_plus_all_socio_sensitivity,Arab,missing__unemployment__מקבלי_גמלאות_נכות_מעבודה_ותלויים_סוף_שנה__level,5,-0.008745252105962279,0.008745252105962279,0.0011754228603662502,0.0
history_plus_all_socio_sensitivity,Arab,missing__demographic__אחוז_עולים_בני_64_45_בהשתקעות_ראשונה_2015__level,3,0.008720487679015869,0.008720487679015869,0.00324774166389374,1.0
history_plus_all_socio_sensitivity,Arab,income__שכר_ממוצע_לחודש_של_שכירים_ש_ח_נשים__annualized_change,5,0.008528262833150602,0.008528262833150602,0.004995798323460311,1.0
history_plus_all_socio_sensitivity,Arab,missing__unemployment__מספר_ילדים_שבגינם_שולמו_קצבאות_במשפחות_עם_5_ילדים_ויותר__level,5,-0.00827587895845432,0.00827587895845432,0.0017079243591801305,0.0
history_plus_all_socio_sensitivity,Arab,demographic__יהודים_ואחרים_אחוזים_מתוך_כלל_אוכלוסיית_הישראלים__level,1,-0.008160626477638306,0.008160626477638306,,0.0
history_plus_all_socio_sensitivity,Arab,missing__education__השכלה_גבוהה_אחוז_הנכנסים_להשכלה_גבוהה_בתוך_8_שנים_בקרב_תלמידי_יב__level,1,0.008138157317625733,0.008138157317625733,,1.0
history_plus_all_socio_sensitivity,Arab,education__עובדי_הוראה_ממוצע_שנות_ותק_מוכרות_בהוראה__level,1,-0.008003175940367273,0.008003175940367273,,0.0
history_plus_all_socio_sensitivity,Arab,unemployment__מקבלי_דמי_אבטלה_ממוצע_חודשי_גברים__level,5,-0.00793501808267243,0.00793501808267243,0.0021755198686373343,0.0
history_plus_all_socio_sensitivity,Arab,demographic__אחוז_באוכלוסייה_בסוף_השנה_בני_44_30__level,1,-0.007850575590466348,0.007850575590466348,,0.0
history_plus_all_socio_sensitivity,Arab,missing__education__snapshot_age_years,2,0.007614494851036159,0.007614494851036159,0.0025094866863777116,1.0
history_plus_all_socio_sensitivity,Arab,unemployment__מספר_משפחות_של_מקבלי_קצבאות_בגין_ילדים_סוף_שנה_עם_5_ילדים_ויותר_במשפחה__annualized_change,5,-0.007577235139255627,0.007577235139255627,0.0011802032604229713,0.0
history_plus_all_socio_sensitivity,Arab,income__הכנסה_ממוצעת_לחודש_של_העצמאים_ש_ח__level,5,0.007452997945169415,0.0074529979451694135,0.0039009431887143714,1.0
history_plus_all_socio_sensitivity,Arab,unemployment__מקבלי_גמלת_הבטחת_הכנסה_נפשות_במשך_השנה__level,5,0.007356291092611676,0.007356291092611676,0.0010109649157412216,1.0
history_plus_all_socio_sensitivity,Arab,demographic__אחוז_בני_59_45_באוכלוסייה_בסוף_2015__level,3,0.007306356837902035,0.007306356837902035,0.0010832852395593875,1.0
history_plus_all_socio_sensitivity,Arab,missing__unemployment__מקבלי_גמלאות_ניידות_סוף_שנה__annualized_change,5,0.007213188936564448,0.007213188936564449,0.00148188854483281,1.0
history_plus_all_socio_sensitivity,Arab,unemployment__אחוז_המבוטחים_בקופ_ח_מתוך_סך_כל_המבוטחים_מאוחדת__annualized_change,5,0.001582701484057271,0.007190301777835693,0.008109276697149816,0.6
history_plus_all_socio_sensitivity,Arab,demographic__אחוז_בני_29_20_באוכלוסייה_בסוף_2015__level,3,-0.0030567079398901,0.00710278065775112,0.007973845042185266,0.3333333333333333
history_plus_all_socio_sensitivity,Arab,unemployment__מקבלי_גמלאות_נכות_כללית_סוף_שנה__annualized_change,5,-0.007076896379596439,0.007076896379596439,0.0021778593735581678,0.0
history_plus_all_socio_sensitivity,Arab,demographic__אחוז_עולים_בני_64_45_בהשתקעות_ראשונה_2015__level,3,-0.007067219198987888,0.007067219198987889,0.007737929546334329,0.0
history_plus_all_socio_sensitivity,Arab,income__אחוז_שינוי_ריאלי_של_הכנסה_ממוצעת_לחודש_של_העצמאים_לעומת_השנה_הקודמת__annualized_change,5,0.006995893330001011,0.006995893330001011,0.004461810177532484,1.0
