feature,training_missing_pct,feature_role,source
previous_feature__welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 4-3 ילדים,81.53338829348722,previous_feature,welfare
previous_feature__welfare__מספר ילדים שבגינם שולמו קצבאות במשפחות עם 5 ילדים ויותר,81.53338829348722,previous_feature,welfare
"previous_feature__welfare__מספר ילדים שבגינם שולמו קצבאות סה""כ",81.53338829348722,previous_feature,welfare
"previous_feature__welfare__מספר מקבלי דמי אבטלה 
(סה""כ שנתי",81.53338829348722,previous_feature,welfare
"previous_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) סה""כ",81.53338829348722,previous_feature,welfare
previous_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 2-1 ילדים במשפחה,81.53338829348722,previous_feature,welfare
previous_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 4-3 ילדים במשפחה,81.53338829348722,previous_feature,welfare
previous_feature__welfare__מקבלי גמלאות ניידות (סוף שנה,81.53338829348722,previous_feature,welfare
previous_feature__welfare__מקבלי גמלאות נכות כללית (סוף שנה,81.53338829348722,previous_feature,welfare
"previous_feature__welfare__מקבלי קצבאות זקנה ושאירים סה""כ (סוף שנה",81.53338829348722,previous_feature,welfare
"previous_feature__welfare__ניצול ימי אבטלה בשנה 
(חציון שנתי",81.53338829348722,previous_feature,welfare
"previous_feature__welfare__ניצול ימי אבטלה בשנה 
(ממוצע שנתי",81.53338829348722,previous_feature,welfare
"current_feature__welfare__אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי",81.57460840890354,current_feature,welfare
"current_feature__welfare__מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ",81.57460840890354,current_feature,welfare
current_feature__welfare__מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה,81.61582852431987,current_feature,welfare
current_feature__welfare__מקבלי גמלאות סיעוד (סוף שנה,81.61582852431987,current_feature,welfare
"delta_feature__welfare__אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי",81.61582852431987,delta_feature,welfare
delta_feature__welfare__מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה,81.61582852431987,delta_feature,welfare
delta_feature__welfare__מקבלי גמלאות סיעוד (סוף שנה,81.61582852431987,delta_feature,welfare
"delta_feature__welfare__מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ",81.61582852431987,delta_feature,welfare
"previous_feature__welfare__אחוז מקבלי דמי אבטלה מבני 67-20
(ממוצע חודשי",81.61582852431987,previous_feature,welfare
previous_feature__welfare__מקבלי גמלאות נכות מעבודה ותלויים (סוף שנה,81.61582852431987,previous_feature,welfare
previous_feature__welfare__מקבלי גמלאות סיעוד (סוף שנה,81.61582852431987,previous_feature,welfare
"previous_feature__welfare__מקבלי דמי אבטלה 
(ממוצע חודשי) סה""כ",81.61582852431987,previous_feature,welfare
"current_feature__welfare__מקבלי דמי אבטלה 
(ממוצע חודשי) גברים",81.78070898598516,current_feature,welfare
"delta_feature__welfare__מקבלי דמי אבטלה 
(ממוצע חודשי) גברים",82.0280296784831,delta_feature,welfare
"previous_feature__welfare__מקבלי דמי אבטלה 
(ממוצע חודשי) גברים",82.0280296784831,previous_feature,welfare
"current_feature__welfare__מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה",82.15169002473208,current_feature,welfare
"delta_feature__welfare__מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה",82.52267106347898,delta_feature,welfare
previous_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,82.52267106347898,previous_feature,welfare
"previous_feature__welfare__מקבלי גמלת הבטחת הכנסה (נפשות, במשך השנה",82.52267106347898,previous_feature,welfare
current_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,82.5638911788953,current_feature,welfare
delta_feature__welfare__מספר משפחות של מקבלי קצבאות  בגין ילדים (סוף שנה) עם 5 ילדים ויותר במשפחה,82.5638911788953,delta_feature,welfare
"current_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) גברים",82.64633140972795,current_feature,income
"current_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",82.64633140972795,current_feature,income
"current_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) נשים",82.64633140972795,current_feature,income
current_feature__income_standard__avg_monthly_wage_men,82.64633140972795,current_feature,
current_feature__income_standard__avg_monthly_wage_total,82.64633140972795,current_feature,
current_feature__income_standard__avg_monthly_wage_women,82.64633140972795,current_feature,
current_feature__income_standard__gender_wage_ratio,82.64633140972795,current_feature,
current_feature__income_standard__gini_wage_2019_static,82.64633140972795,current_feature,
"delta_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) גברים",82.64633140972795,delta_feature,income
"delta_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) כלל השכירים",82.64633140972795,delta_feature,income
"delta_feature__income__שכר ממוצע לחודש של שכירים (ש""ח) נשים",82.64633140972795,delta_feature,income
delta_feature__income_standard__avg_monthly_wage_men,82.64633140972795,delta_feature,
delta_feature__income_standard__avg_monthly_wage_total,82.64633140972795,delta_feature,
delta_feature__income_standard__avg_monthly_wage_women,82.64633140972795,delta_feature,
delta_feature__income_standard__gender_wage_ratio,82.64633140972795,delta_feature,
delta_feature__income_standard__gini_wage_2019_static,82.64633140972795,delta_feature,
current_feature__education__השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,83.42951360263808,current_feature,education
current_feature__education__השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,83.42951360263808,current_feature,education
current_feature__education__השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,83.42951360263808,current_feature,education
current_feature__education__ילדים בגנים של משרד החינוך גיל 3,83.42951360263808,current_feature,education
current_feature__education__ילדים בגנים של משרד החינוך גיל 4,83.42951360263808,current_feature,education
current_feature__education__ילדים בגנים של משרד החינוך גיל 5,83.42951360263808,current_feature,education
"current_feature__education__ילדים בגנים של משרד החינוך סה""כ",83.42951360263808,current_feature,education
current_feature__education__ממוצע תלמידים לכיתה בבתי ספר יסודיים,83.42951360263808,current_feature,education
delta_feature__education__השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,83.42951360263808,delta_feature,education
delta_feature__education__השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,83.42951360263808,delta_feature,education
delta_feature__education__השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,83.42951360263808,delta_feature,education
delta_feature__education__ילדים בגנים של משרד החינוך גיל 3,83.42951360263808,delta_feature,education
delta_feature__education__ילדים בגנים של משרד החינוך גיל 4,83.42951360263808,delta_feature,education
delta_feature__education__ילדים בגנים של משרד החינוך גיל 5,83.42951360263808,delta_feature,education
"delta_feature__education__ילדים בגנים של משרד החינוך סה""כ",83.42951360263808,delta_feature,education
delta_feature__education__ממוצע תלמידים לכיתה בבתי ספר יסודיים,83.42951360263808,delta_feature,education
previous_feature__education__השכלה גבוהה אחוז בעלי תארים מישראל מתוך אוכלוסיית בני 55-35,83.42951360263808,previous_feature,education
previous_feature__education__השכלה גבוהה אחוז סטודנטים מתוך אוכלוסיית בני 25-20,83.42951360263808,previous_feature,education
previous_feature__education__השכלה גבוהה אחוז סטודנטים מתוך כלל האוכלוסייה,83.42951360263808,previous_feature,education
previous_feature__education__ילדים בגנים של משרד החינוך גיל 3,83.42951360263808,previous_feature,education
previous_feature__education__ילדים בגנים של משרד החינוך גיל 4,83.42951360263808,previous_feature,education
previous_feature__education__ילדים בגנים של משרד החינוך גיל 5,83.42951360263808,previous_feature,education
"previous_feature__education__ילדים בגנים של משרד החינוך סה""כ",83.42951360263808,previous_feature,education
previous_feature__education__ממוצע תלמידים לכיתה בבתי ספר יסודיים,83.42951360263808,previous_feature,education
"current_feature__education__בתי ספר סה""כ",83.51195383347073,current_feature,education
"delta_feature__education__בתי ספר סה""כ",83.51195383347073,delta_feature,education
"previous_feature__education__בתי ספר סה""כ",83.51195383347073,previous_feature,education
"previous_feature__education__כיתות סה""כ",83.51195383347073,previous_feature,education
"previous_feature__education__תלמידים סה""כ",83.51195383347073,previous_feature,education
"current_feature__education__כיתות סה""כ",83.55317394888706,current_feature,education
"current_feature__education__תלמידים סה""כ",83.55317394888706,current_feature,education
"delta_feature__education__כיתות סה""כ",83.55317394888706,delta_feature,education
"delta_feature__education__תלמידים סה""כ",83.55317394888706,delta_feature,education
current_feature__education__בתי ספר יסודיים,83.59439406430337,current_feature,education
current_feature__education__כיתות בבתי ספר יסודיים,83.59439406430337,current_feature,education
current_feature__education__תלמידים בבתי ספר יסודיים,83.59439406430337,current_feature,education
delta_feature__education__בתי ספר יסודיים,83.59439406430337,delta_feature,education
delta_feature__education__כיתות בבתי ספר יסודיים,83.59439406430337,delta_feature,education
delta_feature__education__תלמידים בבתי ספר יסודיים,83.59439406430337,delta_feature,education
previous_feature__education__בתי ספר יסודיים,83.59439406430337,previous_feature,education
previous_feature__education__כיתות בבתי ספר יסודיים,83.59439406430337,previous_feature,education
previous_feature__education__תלמידים בבתי ספר יסודיים,83.59439406430337,previous_feature,education
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 14-10,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 17-0,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 19-15,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 29-20,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 4-0,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 44-30,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 59-45,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 64-60,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז באוכלוסייה בסוף השנה בני 9-5,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז גידול האוכלוסייה לעומת השנה הקודמת,83.80049464138499,current_feature,demographic
current_feature__demographic__אחוז עולי 1990+ מסך האוכלוסייה,83.80049464138499,current_feature,demographic
"current_feature__demographic__יוצאים ליישובים אחרים סה""כ",83.80049464138499,current_feature,demographic
"current_feature__demographic__יחס תלות (ל-1,000 תושבים בלתי תלויים",83.80049464138499,current_feature,demographic
current_feature__demographic__לידות חי,83.80049464138499,current_feature,demographic
"current_feature__demographic__סה""כ  אוכלוסייה בסוף השנה",83.80049464138499,current_feature,demographic
"current_feature__demographic__סה""כ גברים בסוף השנה",83.80049464138499,current_feature,demographic
"current_feature__demographic__סה""כ נשים בסוף השנה",83.80049464138499,current_feature,demographic
current_feature__demographic__פטירות,83.80049464138499,current_feature,demographic
"current_feature__demographic__ריבוי טבעי
סה""כ",83.80049464138499,current_feature,demographic
"current_feature__demographic__ריבוי טבעי  ל-1,000 תושבים",83.80049464138499,current_feature,demographic
"current_feature__demographic__נישאים סה""כ גברים ונשים",83.84171475680132,current_feature,demographic
"current_feature__demographic__נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה",83.84171475680132,current_feature,demographic
current_feature__welfare_engineered__children_in_families_with_5plus_children_per_1000,83.84171475680132,current_feature,
previous_feature__education__אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,83.84171475680132,previous_feature,education
previous_feature__education__אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,83.84171475680132,previous_feature,education
"current_feature__demographic__מאזן הגירה ביישוב
סה""כ",83.88293487221765,current_feature,demographic
current_feature__education__אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,83.88293487221765,current_feature,education
current_feature__education__אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,83.88293487221765,current_feature,education
delta_feature__education__אחוז זכאים לתעודת בגרות מבין תלמידי כיתות יב,83.88293487221765,delta_feature,education
delta_feature__education__אחוז זכאים לתעודת בגרות שעמדו בדרישות הסף של האוניברסיטאות מבין תלמידי כיתות יב,83.88293487221765,delta_feature,education
current_feature__demographic__יוצאים ליישובים אחרים גיל 29-15,83.92415498763397,current_feature,demographic
current_feature__demographic__יוצאים ליישובים אחרים נשים,83.92415498763397,current_feature,demographic
"current_feature__demographic__מתגרשים סה""כ גברים ונשים",83.92415498763397,current_feature,demographic
current_feature__demographic__נכנסים מיישובים אחרים נשים,84.0065952184666,current_feature,demographic
