transition_id,subgroup,bloc,rows,mean_delta_pct,median_delta_pct,mean_absolute_delta_pct,standard_deviation_pct,minimum_delta_pct,maximum_delta_pct
K19_to_K20,Non-Arab-majority,Arab,1070,0.028188381572612026,-0.0271466076335929,0.8418536656333578,3.9014996321635893,-26.75548852019441,60.47471620227039
K19_to_K20,Non-Arab-majority,Center_Left,1070,-2.596218814139645,-2.051610687902536,4.576941047269735,6.492694034804986,-49.93842364532019,46.875
K19_to_K20,Non-Arab-majority,Haredi,1070,-4.976001762365545,-2.8020418940327403,5.084693652686404,6.535124539237302,-55.72755417956655,22.8949605747912
K19_to_K20,Non-Arab-majority,Right,1070,7.544032194932578,5.878143447770222,8.546798351072637,8.856372860438498,-52.08333333333333,48.86337004921491
K20_to_K21,Arab-majority,Arab,123,-14.434076917982527,-11.156206494517376,15.690527427350295,14.698356397942655,-54.64285714285714,18.92411572687029
K20_to_K21,Arab-majority,Center_Left,123,11.304595486878398,8.059066597503117,12.273428362502152,12.266634268841594,-18.920601971977167,50.0
K20_to_K21,Arab-majority,Haredi,123,1.7369952888818652,0.3717724220788171,3.159417395872144,5.755904796775746,-17.953762911952776,25.657894736842103
K20_to_K21,Arab-majority,Right,123,1.3924861422222645,0.7772176909643216,2.983523361521893,5.28251619059285,-13.920314805705852,30.67434210526316
K20_to_K21,Non-Arab-majority,Arab,1070,-0.17574492554676716,0.0,0.3684115092607985,1.729154221173355,-33.89021045141862,10.392404124323123
K20_to_K21,Non-Arab-majority,Center_Left,1070,3.0543650245278684,2.3062530787719977,3.972961883339264,5.2067762971275515,-33.60993948285348,43.99881805353428
K20_to_K21,Non-Arab-majority,Haredi,1070,-0.07283421344000358,-0.00726166354874295,1.3018120913274658,2.922567503289567,-23.79182156133829,34.44444444444444
K20_to_K21,Non-Arab-majority,Right,1070,-2.8057858855410966,-2.5105774334559343,4.304395420296624,5.597879273615325,-59.16666666666666,34.50394278378873
K21_to_K22,Arab-majority,Arab,104,9.72461926725356,8.027310359133072,10.47120338149473,9.283254026014557,-13.443223443223443,47.82608695652172
K21_to_K22,Arab-majority,Center_Left,104,-6.096401112715513,-4.875749826293475,7.458708439298649,8.38809039454729,-47.82608695652174,20.9010989010989
K21_to_K22,Arab-majority,Haredi,104,-1.8169257010544588,-0.3588878652248988,2.1248223494437424,4.361385928164115,-25.657894736842103,4.796886288950521
K21_to_K22,Arab-majority,Right,104,-1.8112924534835915,-1.2034839785417721,1.8382800456228356,2.234404690030095,-16.18409680207433,0.3142682132365291
K21_to_K22,Non-Arab-majority,Arab,1108,0.6999245827950908,0.0,0.7727705705612704,4.16925369585875,-1.443183410396525,50.90909090909091
K21_to_K22,Non-Arab-majority,Center_Left,1108,2.3483854152891364,2.3307069093347863,3.675497542548053,5.033403502906119,-39.39342234355672,31.45092460881934
K21_to_K22,Non-Arab-majority,Haredi,1108,1.5246025082081385,0.6470707321674236,1.9355398419956218,3.898288175565649,-40.0,51.06837606837607
K21_to_K22,Non-Arab-majority,Right,1108,-4.572912506292366,-3.906502695841677,4.952975488654737,5.01342913212077,-51.06837606837608,62.60869565217391
K22_to_K23,Arab-majority,Arab,121,7.418094850234861,5.466241751063237,7.68743230012919,6.282631168207952,-14.333080712391052,25.60802041468904
K22_to_K23,Arab-majority,Center_Left,121,-6.627460207215647,-4.761907510875616,6.659998578225046,5.627051099799333,-22.53312540626716,1.9685714460686743
K22_to_K23,Arab-majority,Haredi,121,-0.5197529167144465,-0.1517671895239409,0.6853018721022182,1.2634742415195932,-8.621437188960941,1.922193914364503
K22_to_K23,Arab-majority,Right,121,-0.2708817263047661,-0.1827839507445353,0.8804634659760051,2.17917836490008,-13.53135313531353,14.80674497915877
K22_to_K23,Non-Arab-majority,Arab,1092,0.5334555877637485,0.0177584112045387,0.5795298153338126,2.5177535614734468,-1.4705882352941175,39.10308741747254
K22_to_K23,Non-Arab-majority,Center_Left,1092,-2.9671922170438534,-2.5722870897021615,3.23026434337257,3.445251653718771,-33.8150289017341,14.720406681191
K22_to_K23,Non-Arab-majority,Haredi,1092,0.39709016391089225,0.1003900967304031,1.0179677644632128,2.055900913723248,-16.98765432098765,21.623609679826583
K22_to_K23,Non-Arab-majority,Right,1092,2.0366464653692127,1.993906437226359,3.003549182359094,3.5092371667049416,-21.443090153157318,27.032911183082668
K23_to_K24,Arab-majority,Arab,128,-7.276042595260917,-5.499766563822803,8.096063740761215,8.85889261290512,-47.5206779937253,14.556838905775066
K23_to_K24,Arab-majority,Center_Left,128,0.18907127775238514,0.654743804391632,4.260643340662423,6.748685415634091,-29.32785214855416,20.197393369658503
K23_to_K24,Arab-majority,Haredi,128,0.518886304516801,0.0,1.0244559367943173,2.311936753771117,-5.968578077677794,15.858960314146971
K23_to_K24,Arab-majority,Right,128,6.568085012991732,3.027988568316324,6.738311139847658,9.067894093990928,-7.668665667166415,50.05951689699222
K23_to_K24,Non-Arab-majority,Arab,1083,-0.42157125470152496,-0.0553097345132743,0.4585949983989304,1.0419934289494146,-13.888888888888886,2.4689190863657
K23_to_K24,Non-Arab-majority,Center_Left,1083,-3.538792704405263,-2.971706402671188,3.920885121528562,3.973913659363385,-37.76223776223776,16.13043478260869
K23_to_K24,Non-Arab-majority,Haredi,1083,-1.239434845490288,-0.4324803627146716,1.5919387484369216,3.5427220577641654,-55.51470588235294,10.506696353270588
K23_to_K24,Non-Arab-majority,Right,1083,5.199798804597076,4.569088319088319,5.440301836027679,4.651694269012713,-12.378426171529624,55.530240265120135
