סמל היישוב,שם יישוב,כלל בעלי הכנסה מספר,כלל בעלי הכנסה שכר ממוצע,גברים מספר בעלי הכנסה,גברים שכר ממוצע,נשים מספר בעלי הכנסה,נשים שכר ממוצע,בעלי הכנסה משכר מספר,בעלי הכנסה משכר שכר ממוצע,בעלי הכנסה עסקית מספר,בעלי הכנסה עסקית שכר ממוצע,בעלי הכנסה משכר ועסקית מספר,בעלי הכנסה משכר ועסקית שכר ממוצע,שכירים השתכרים מתחת לשכר המינימום מספר
504,כאבול,"6,164","8,430.71","3,431","10,170.34","2,733","6,246.78","5,325","8,012.30",505,"8,458.58",334,"15,059.23","2,278"
505,כאוכב אבו אל-היג'א,"2,044","9,233.02","1,096","10,991.92",948,"7,199.53","1,743","8,742.48",168,"8,807.39",133,"16,199.43",699
"1,224",כוכב יאיר,"5,846","20,689.00","2,926","26,372.79","2,920","14,993.52","4,600","20,732.20",605,"16,837.01",641,"24,014.62","1,372"
"1,059",כסיפה,"5,909","8,189.99","3,770","9,351.13","2,139","6,143.47","5,629","7,819.46",153,"12,617.40",127,"19,278.93","2,098"
"1,296",כסרא-סמיע,"4,196","9,095.97","2,321","11,872.55","1,875","5,658.94","3,637","8,949.77",338,"7,033.05",221,"14,657.14","1,481"
978,כעביה-טבאש-חג'אג'רה,"2,963","8,012.97","1,656","9,636.45","1,307","5,955.98","2,690","7,875.97",177,"8,584.94",96,"10,797.33","1,054"
633,כפר ברא,"2,030","8,926.00","1,124","10,863.33",906,"6,522.50","1,703","8,196.06",225,"11,695.43",102,"15,004.12",622
76,כפר גלעדי,"12,817","11,637.26","6,371","14,282.26","6,446","9,023.04","10,256","11,174.59","1,133","11,331.58","1,428","15,202.75","3,881"
"1,263",כפר ורדים,"3,286","17,033.07","1,608","22,988.88","1,678","11,325.72","2,553","17,832.45",394,"11,278.06",339,"17,701.74",856
507,כפר יאסיף,"5,910","9,470.03","3,092","10,983.88","2,818","7,808.99","4,838","8,743.68",674,"10,331.23",398,"16,841.06","1,932"
168,כפר יונה,"15,531","13,885.04","7,600","17,064.00","7,931","10,838.76","12,806","13,857.20","1,576","12,604.12","1,149","15,952.37","3,550"
508,כפר כמא,"1,929","10,810.47","1,019","12,950.39",910,"8,414.22","1,705","10,842.35",138,"9,152.71",86,"12,838.45",491
509,כפר כנא,"11,306","7,526.86","6,600","8,753.55","4,706","5,806.48","9,910","6,968.41",933,"9,592.49",463,"15,317.38","4,926"
510,כפר מנדא,"9,164","7,245.84","5,639","8,573.68","3,525","5,121.66","7,899","6,713.18",895,"9,644.55",370,"12,815.06","4,282"
"6,900",כפר סבא,"54,970","16,509.22","26,840","20,600.73","28,130","12,605.34","45,257","16,483.31","5,150","13,965.49","4,563","19,637.11","12,399"
634,כפר קאסם,"12,779","8,192.33","7,074","9,527.90","5,705","6,536.26","10,994","7,840.12","1,306","9,066.74",479,"13,892.09","4,357"
654,כפר קרע,"10,595","9,601.30","5,781","11,464.08","4,814","7,364.34","9,089","8,986.28",940,"10,484.64",566,"18,010.43","3,312"
267,כפר שמריהו,"1,011","30,650.44",542,"44,860.15",469,"14,228.98",785,"28,252.11",128,"15,449.73",98,"69,715.55",240
47,כפר תבור,"2,666","16,067.36","1,289","20,691.04","1,377","11,739.16","2,153","15,589.02",227,"14,580.56",286,"20,848.31",683
"1,139",כרמיאל,"24,938","10,633.33","12,151","12,901.24","12,787","8,478.23","21,650","10,479.16","1,706","9,615.68","1,582","13,840.59","6,867"
"1,271",להבים,"3,944","21,673.31","1,977","27,705.00","1,967","15,610.96","3,299","20,756.27",245,"21,727.58",400,"29,203.40",947
"7,000",לוד,"39,924","9,385.31","19,953","10,942.69","19,971","7,829.34","35,946","9,192.99","2,381","9,596.21","1,597","13,399.64","11,384"
52,לוזית,"6,828","11,921.62","3,482","14,428.01","3,346","9,313.35","4,363","11,846.85","1,334","10,088.90","1,131","14,371.72","1,323"
"1,060",לקיה,"5,372","8,147.70","3,293","9,164.33","2,079","6,537.44","5,018","7,720.17",241,"11,743.81",113,"19,463.77","1,928"
"1,015",מבשרת ציון,"14,036","15,201.84","6,904","18,466.52","7,132","12,041.53","11,595","14,557.04","1,202","13,841.11","1,239","22,556.20","3,436"
481,מגאר,"11,633","8,627.39","6,512","10,811.59","5,121","5,849.89","9,932","8,235.99","1,014","9,526.21",687,"12,959.25","4,140"
516,מג'ד אל-כרום,"8,330","8,138.40","4,652","9,954.83","3,678","5,840.94","7,267","7,702.25",686,"9,754.07",377,"13,605.53","3,006"
65,מגדל,"4,037","7,723.38","2,335","9,514.31","1,702","5,266.38","3,683","7,287.94",202,"9,325.37",152,"16,145.30","1,620"
874,מגדל העמק,"14,000","9,256.35","6,879","11,086.24","7,121","7,488.66","12,624","9,145.08",793,"9,093.26",583,"11,887.79","4,237"
"4,201",מג'דל שמס,"5,940","7,974.23","3,389","9,782.95","2,551","5,571.36","4,257","7,105.10","1,047","8,759.62",636,"12,498.74","2,213"
"3,797",מודיעין עילית,"22,569","6,666.92","7,596","6,649.80","14,973","6,675.61","19,204","6,490.82","1,969","6,211.10","1,396","9,732.36","9,695"
"1,200",מודיעין-מכבים-רעות,"54,622","17,628.12","26,585","22,332.03","28,037","13,167.98","46,130","17,346.81","4,155","15,812.16","4,337","22,359.89","13,414"
28,מזכרת בתיה,"4,029","16,709.38","1,999","21,021.11","2,030","12,463.49","3,238","16,307.71",402,"13,969.11",389,"22,884.74","1,014"
517,מזרעה,"2,290","8,685.17","1,261","10,432.19","1,029","6,544.25","1,979","8,425.19",191,"8,391.90",120,"13,439.41",750
43,מטולה,"1,160","10,686.42",565,"12,367.56",595,"9,090.04",874,"10,312.53",115,"9,324.67",171,"13,513.19",337
"1,268",מיתר,"6,339","18,677.74","3,117","23,575.04","3,222","13,940.03","5,329","18,264.48",427,"16,497.05",583,"24,052.40","1,428"
48,מנחמיה,"3,587","12,491.19","1,759","15,066.21","1,828","10,013.36","2,820","11,818.37",307,"14,498.29",460,"15,276.33",910
"4,203",מסעדה,"2,093","7,561.19","1,227","9,217.76",866,"5,214.06","1,482","6,753.49",377,"7,955.97",234,"12,040.58",835
518,מעיליא,"1,924","12,567.58",994,"14,887.39",930,"10,088.13","1,571","11,151.69",199,"13,748.67",154,"25,485.29",492
"3,616",מעלה אדומים,"21,653","11,189.90","10,486","13,069.04","11,167","9,425.35","19,381","10,981.68","1,252","11,415.66","1,020","14,869.11","6,073"
"3,608",מעלה אפרים,824,"8,682.65",406,"10,195.07",418,"7,213.66",718,"8,592.18",47,"9,544.05",59,"9,097.46",249
"1,327",מעלה עירון,"7,524","7,928.58","4,472","9,524.59","3,052","5,589.98","6,634","7,454.04",521,"10,277.45",369,"13,143.56","2,986"
"1,063",מעלות-תרשיחא,"12,527","10,333.89","6,429","12,361.71","6,098","8,196.00","10,830","10,000.65",880,"10,037.63",817,"15,070.28","3,439"
99,מצפה רמון,"2,720","8,021.37","1,325","9,344.06","1,395","6,765.05","2,137","7,727.47",259,"8,498.56",324,"9,578.39",971
66,מרחביה (קיבוץ),"4,263","8,536.60","2,467","10,166.59","1,796","6,297.62","3,805","8,178.91",291,"10,002.56",167,"14,131.74","1,458"
520,משהד,"4,137","7,828.84","2,494","9,161.41","1,643","5,806.05","3,688","7,423.53",333,"9,846.78",116,"14,922.07","1,576"
"9,100",נהרייה,"33,922","11,413.65","16,719","14,013.56","17,203","8,886.74","29,354","11,074.72","2,576","11,623.78","1,992","16,136.23","8,974"
