שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",סך כל הישראלים,יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה"
כפר שמריהו,267,..,"2,027","1,955",99.20,96.50,0.80,100,-,-,"1,042",985,4.60,6.50,7.60,8.70,10.56,13.32,20.18,5.40,23,23.50,11.90,"1,019.90",14,..,   -,   -,14,..,0,0,-1.26,12.30,10,20,20,40,20,-26,-17,94,42,52,30,19,36,9,111,51,60,24,35,45,7,45,9,12.30,7,8.40
כרמיאל,"1,139","2,209.60","48,676","48,380",94.50,82.60,5.50,68.30,20.20,11.60,"23,553","25,122",6.10,7.10,6.90,7,12.37,17.51,17.65,5.50,19.80,24.30,8.50,885.90,544,2.02,1.80,( 3.1),385,5.20,159,3.29,0.85,35.40,751,18.91,50.73,22.10,8.26,87,-542,"1,124",599,525,262,316,458,88,"1,666",888,778,309,551,699,107,"2,916",273,15.40,201,10.30
להבים,"1,271",704.70,"7,860","7,819",92,97.70,8,94.90,5.10,-,"3,909","3,951",6.20,7.80,8.70,9.20,10.93,13.98,19.26,5.10,18.80,28.10,8.50,"1,027.60",80,..,   -,   -,32,2.60,48,6.14,0.90,5.80,10,40,30,10,20,-15,-8,254,138,116,93,34,111,16,262,138,124,49,87,106,20,218,40,17.80,12,3.60
לוד,"7,000","6,139.20","90,814","88,386",70.20,90.60,29.80,96.80,3.20,-,"44,930","45,884",12.20,10.90,9,7,14.54,18.73,13.29,3.50,10.90,36.40,4.80,998.90,"2,116",3.39,5.60, 3.0,551,5.85,"1,565",17.71,1.58,16.50,163,19.02,42.94,23.31,14.72,111,-28,"2,892","1,511","1,381","1,067",902,813,110,"2,920","1,522","1,398",951,669,"1,108",192,"3,191",812,30.70,304,9.70
לקיה,"1,060","2,585.60","18,324","18,321",0.10,6.10,99.90,100,-,-,"9,315","9,008",16.30,13.70,11.70,10.90,17.81,14.45,10.87,1.60,2.70,48,1,"1,237.50",664,5.75,5, 8.4,32,4.90,632,34.50,4.26,0.30,-,-,-,-,-,2,-16,7,..,4,..,..,..,..,23,13,10,10,7,6,..,..,270,65.60,45,9.30
מבשרת ציון,"1,015","4,137.30","26,106","25,680",99.50,97.10,0.50,93,6.20,0.70,"12,928","13,178",7.80,7.80,7.50,7.30,11.87,18.80,16.71,5.20,17,27.50,7.30,901.10,351,2.29,0.40,  ..,93,3.10,258,10.05,0.94,7.10,27,7.41,33.33,44.44,14.81,31,71,"1,181",641,540,344,259,504,74,"1,110",556,554,300,275,452,83,717,201,23.90,77,7.10
מגאר,481,"1,098.20","23,185","23,162",0.10,49.80,99.90,18.30,18.60,63.10,"11,789","11,396",8.20,8,8.30,8.20,16.94,22.12,16.80,4,7.50,29.30,2.60,669.40,395,2.21,1.60,( 4.0),72,5.25,323,13.95,1.37,0.10,-,-,-,-,-,-28,-1,167,54,113,44,67,55,..,168,44,124,36,81,50,..,11,297,41.60,29,2.70
מג'ד אל-כרום,516,"1,627.30","15,145","15,138",-,37.10,100,100,-,-,"7,820","7,325",7.40,8.20,9.30,10.10,17.33,20.44,16.22,3.90,7.20,31.10,2.50,729.10,230,2.05,1.60,( 6.8),48,5.30,182,12.02,1.10,0.30,-,-,-,-,-,-38,-27,113,27,86,18,56,38,..,140,37,103,43,55,42,..,14,161,32.50,32,4.80
מגדל העמק,874,"3,067","28,546","28,279",99.90,88.50,0.10,57.60,42.40,-,"13,952","14,595",8.20,8.50,7.80,6.80,12.65,18.36,15.98,5.20,16.60,28.50,6.90,915.80,458,2.65,2,( 4.5),194,6.13,264,9.34,2.23,25.10,273,25.64,37.36,26.01,10.99,295,14,856,429,427,217,220,364,55,842,453,389,192,247,357,46,"1,685",295,30.90,130,12.50
מג'דל שמס,"4,201",709.70,"11,235","11,231",-,57.50,100,-,-,100,"5,878","5,357",6,7.50,8.50,9,15.86,21.59,20.45,3.70,7.40,27.30,2.80,622.90,109,1.40,   -,   -,34,5.40,75,6.68,0.71,0.60,-,-,-,-,-,-4,11,68,23,45,10,24,33,..,57,17,40,15,28,14,..,..,146,38.10,41,8.20
מודיעין עילית,"3,797","20,953.20","87,486","87,157",100,100,-,..,..,..,"44,287","43,199",18.20,17.70,16.20,12.40,11.96,14.98,6.80,0.60,1.20,60,0.50,"1,913.70","3,302",6.91,9.60, 3.0,57,3.92,"3,245",37.23,3.00,3.80,62,40.32,40.32,3.23,16.13,-756,-802,"1,917","1,105",812,797,815,261,44,"2,720","1,612","1,108","1,060","1,232",406,22,"3,452","1,268",101.60,323,7.80
מודיעין-מכבים-רעות,"1,200","2,018.80","97,565","96,903",99.90,97.80,0.10,88.40,9.90,1.70,"48,225","49,340",6.60,8.40,10.10,10.50,11.85,15.66,21.82,4.20,10.80,31.50,4.40,866.60,"1,045",2.34,0.80,  ..,265,3.04,780,8.05,3.41,11.40,259,31.66,31.66,20.46,16.22,"2,128","2,060","4,465","2,182","2,283","1,519",636,"2,010",300,"2,405","1,238","1,167",472,939,881,113,"4,948",643,20.70,67,2.80
מזרעה,517,..,"3,874","3,866",0.20,55.90,99.80,98.50,1.50,-,"2,093","1,781",10.20,10.10,6.80,7.10,17.84,24.29,13.76,4.40,5.50,31.40,1.60,659.10,71,..,   -,   -,15,(7.4),56,14.49,1.44,0.60,-,-,-,-,-,-5,-2,50,23,27,9,18,22,..,52,22,30,13,19,19,..,7,57,45.20,12,6.60
מיתר,"1,268",480.70,"11,646","11,586",97.50,98.20,2.50,94.90,3.70,1.40,"5,810","5,837",6.50,11,12.20,9.90,10.16,17.26,19.14,3.50,10.40,35.80,3.60,997.30,130,2.51,   -,   -,29,3.20,101,8.72,1.37,5.40,3,0,33.33,0,66.67,-19,-7,436,218,218,174,63,177,22,443,232,211,92,129,203,19,349,80,28.40,40,8.60
מסעדה,"4,203",..,"4,161","4,160",0.10,-,99.90,-,-,100,"1,972","2,189",7.60,9.10,10.70,10.40,14.56,19.75,18.55,3.30,6.10,33.70,2.30,780.80,38,..,   -,   -,6,(4.3),32,7.69,0.48,0.50,-,-,-,-,-,-9,-3,35,9,26,13,11,11,..,38,9,29,8,16,13,..,..,41,35.20,5,3
מעיליא,518,..,"3,272","3,235",2.40,84.90,97.60,0.10,99.90,-,"1,676","1,596",5.90,6,5.90,7.30,13.33,18.64,21.09,4.90,17,22.40,9.40,725.70,41,..,   -,   -,16,(3.4),25,7.73,-0.34,3.10,-,-,-,-,-,-21,-7,36,13,23,7,11,17,..,43,12,31,11,16,16,..,4,32,29.70,5,3
מעלה אדומים,"3,616",790.10,"36,680","36,505",99.80,96.60,0.20,85.90,11.50,2.60,"17,966","18,713",7.90,8.10,8.40,8.80,15.48,15.89,17.16,5.10,13.20,29.60,5.10,864.20,598,2.73,1,( 1.5),155,3.96,443,12.14,0.23,14.50,122,21.31,40.16,25.41,13.11,-452,-486,938,535,403,267,258,355,58,"1,424",733,691,385,468,496,75,"1,491",427,33.30,99,6.50
מעלה אפרים,"3,608",..,"1,695","1,691",99.60,92.10,0.40,100,-,-,895,800,11.80,12,9.90,7.20,16.99,16.81,11.15,4.40,9.70,38.80,2.80,"1,027.50",32,..,   -,   -,5,..,27,15.97,1.81,13.70,-,-,-,-,-,13,18,84,46,38,33,23,28,..,66,39,27,18,16,24,8,50,14,28.80,5,12.40
מעלה עירון,"1,327","2,448.20","15,277","15,263",-,16.80,100,100,-,-,"7,967","7,310",9.80,9,9,9.30,19.32,18.28,15.96,3.60,5.80,33.20,1.70,750,312,2.60,1.40,( 4.5),47,6.10,265,17.36,1.28,0.60,-,-,-,-,-,-79,-80,102,39,63,31,42,29,..,182,53,129,54,86,40,..,48,221,48.90,34,5
מעלות-תרשיחא,"1,063","2,498","23,133","23,029",76,84.40,24,49.90,48.40,1.70,"11,653","11,480",6.60,7.20,7.70,6.90,13.69,18.01,18.37,5.60,15.90,25.80,6.40,796.30,314,2.33,0.80,  ..,140,5.60,174,7.56,0.72,29.20,56,12.50,50,26.79,10.71,-63,-57,765,391,374,190,187,333,55,822,413,409,206,204,367,45,"1,053",223,28.30,65,6.90
משהד,520,"1,213.30","8,695","8,682",-,..,100,100,-,-,"4,440","4,255",9.80,10,9.20,8.90,18.33,20.83,13.44,3.30,6.30,34.30,1.90,787.80,165,..,0.80,  ..,28,6.80,137,15.78,1.02,0.20,-,-,-,-,-,-59,-52,81,27,54,19,38,23,..,133,55,78,51,47,35,..,..,140,52.90,18,5.20
נהרייה,"9,100","5,957.40","68,315","67,622",97.30,84.60,2.70,46.40,49.50,4,"33,119","35,196",6.40,7.20,7,6.60,10.91,18.58,19.45,5.40,18.50,24.50,8,840,798,2.11,1.60,( 1.9),434,5.02,364,5.38,3.56,28.60,"1,345",26.17,38.66,24.31,10.86,"1,817",650,"2,878","1,429","1,449",627,571,"1,402",278,"2,228","1,114","1,114",501,532,"1,046",149,"6,310",540,23,273,10.60
נוף הגליל,"1,061","1,387.90","45,587","45,284",61.70,78.80,38.30,39.60,60.30,0.10,"21,859","23,728",8.10,8.10,6.60,6,13.14,19.18,16.80,5,16.90,26.40,7.80,846.20,696,2.28,2,( 3.0),408,6.29,288,6.36,1.62,30.10,456,25.22,36.84,26.97,10.96,159,-140,"2,150","1,087","1,063",873,632,587,58,"2,290","1,125","1,165",718,515,859,198,"2,438",368,22.40,132,7.60
נחף,522,"2,277.60","13,818","13,812",0.10,58.30,99.90,99.90,0.10,-,"7,007","6,812",9.50,9.90,9.60,10.70,19.01,19.81,14.80,2.60,4.20,35.30,1.30,779.50,235,2.16,1.20,( 4.5),39,6.30,196,14.19,1.47,0.20,-,-,-,-,-,-19,-18,87,31,56,28,34,24,..,105,35,70,29,41,35,..,..,144,34.70,26,4.80
נס ציונה,"7,200","3,032.20","47,534","46,949",99.90,98.20,0.10,83.10,16.90,-,"23,290","24,244",5.60,8.30,9.70,9.20,10.35,15.69,21.25,4.10,15.80,29.40,6.60,945.70,447,2.16,0.40,  ..,208,3.65,239,5.09,-0.43,6.60,32,18.75,40.63,18.75,21.88,-473,-392,"1,085",567,518,327,153,517,88,"1,477",742,735,343,404,645,85,"1,430",295,17.50,174,8.40
נצרת,"7,300","5,447","77,209","76,990",0.20,59.20,99.80,74.20,25.80,-,"38,140","39,068",7.40,8.10,7.90,8.30,17.20,18.60,17.29,4.70,10.50,28.40,4.20,729.70,"1,167",2.06,6.60, 5.5,366,5.51,801,10.40,-0.14,0.60,31,12.90,48.39,32.26,6.45,-925,-906,507,180,327,145,176,173,13,"1,413",644,769,361,447,563,42,494,"1,050",40.80,147,4.40
נשר,"2,500","1,758.40","22,761","22,532",98.10,86.50,1.90,70.70,23.90,5.40,"11,078","11,683",5.70,5.90,6,5.90,14.19,18.78,17.11,6,20.50,21.10,9.10,783.40,256,1.78,0.20,  ..,188,4.65,68,3.02,-0.71,29,120,19.17,40.83,28.33,11.67,-163,-172,868,447,421,120,268,423,57,"1,040",517,523,222,256,487,75,782,200,21.10,77,7.80
נתיבות,246,"3,255.40","52,877","51,859",99.80,97.10,0.20,97.20,2.80,-,"26,558","26,319",15,12.30,9.50,7.60,15.65,19.60,11.11,2.90,6.50,41.30,2.50,"1,031.20","1,614",4.17,3.80,( 2.9),154,5.25,"1,460",28.15,9.11,9.50,30,26.67,23.33,30,20,"2,897","2,882","4,348","2,208","2,140","1,525","1,399","1,300",124,"1,466",733,733,509,442,458,57,"3,772",866,77.10,201,12.20
נתניה,"7,400","7,408.30","233,485","228,054",99.60,88.80,0.40,89.60,7.30,3.20,"113,123","120,363",7.40,7.70,7.30,6.50,11.61,18.69,16.57,4.80,19.30,26.50,9,934.20,"3,401",2.55,6.20, 1.8,"1,729",4.76,"1,672",7.33,1.16,31,"4,902",24.83,37.31,27.21,10.65,208,-544,"5,926","2,951","2,975","1,232","1,360","2,750",584,"6,469","3,352","3,117","1,632","1,623","2,782",432,"15,227","2,025",25,870,9.30
סאג'ור,525,..,"4,267","4,258",-,55.90,100,0.10,-,99.90,"2,216","2,051",8.70,7.70,8.10,8.50,18.65,23.65,17.41,2.60,4.80,29.30,1.60,605.30,67,..,0.20,  ..,13,5.40,54,12.68,1.55,0.20,-,-,-,-,-,3,1,62,17,45,15,28,19,..,61,19,42,13,22,26,..,..,54,41.20,12,5.90
סביון,587,..,"4,447","4,341",99.90,98.10,0.10,66.30,33.70,-,"2,100","2,347",3.80,6,8.80,10.50,11.58,10.32,22.10,6.80,20,25.20,10,967.70,23,..,   -,   -,26,3.70,-3,-0.69,-1.56,6.10,3,0,33.33,0,66.67,-84,-71,132,65,67,26,35,57,14,203,101,102,23,81,78,21,42,21,14.40,13,7.20
סח'נין,"7,500","2,879.90","33,201","33,172",0.10,35.20,99.90,95.20,4.80,-,"17,016","16,184",8.50,9.30,9.20,9.10,15.72,21.05,16.70,3.60,6.80,32.60,2.40,753.20,581,2.29,1.60,( 2.7),73,4.81,508,15.31,1.47,0.30,..,..,0,0,0,-15,-4,208,54,154,39,97,71,..,212,74,138,56,85,71,..,..,414,44.80,91,6.30
ע'ג'ר,"4,501",..,"2,699","2,699",-,-,100,99.80,0.10,0.10,"1,304","1,395",9.20,9,9.90,9.70,17.93,23.19,12.82,3.20,5,34,1.30,750.30,42,..,0.40,  ..,6,(5.6),36,13.34,1.24,0.20,-,-,-,-,-,-9,-6,4,..,4,..,..,..,..,10,7,..,5,..,..,..,4,25,32.50,6,5
עומר,666,451.40,"8,224","8,105",94.80,98.10,5.20,95.50,4.20,0.20,"3,926","4,298",4.60,7.30,9.40,9.40,11.44,12.48,20.12,4.60,20.70,26.80,10.40,"1,055",51,..,0.40,  ..,56,3.60,-5,-0.62,-0.14,4.90,9,22.22,22.22,33.33,22.22,-61,-52,238,125,113,70,31,112,25,290,149,141,54,86,112,38,208,46,18.40,26,7.50
עיילבון,530,"1,036.70","5,834","5,809",0.40,65.20,99.60,29.90,70.10,-,"2,922","2,912",6.80,7.50,8,7.60,12.99,21.73,16.64,5.50,13.30,26.80,5.20,759.30,73,..,0.40,  ..,22,4.30,51,8.78,0.47,0.80,-,-,-,-,-,-21,-20,56,19,37,19,16,21,..,76,34,42,20,25,29,..,..,49,27.90,6,2.30
עילוט,511,"2,855.40","8,894","8,893",-,-,100,100,-,-,"4,367","4,526",10.10,10,9.10,9.60,18.92,18.53,14.66,3.40,5.60,35,2,799.80,184,..,0.20,  ..,21,5.20,163,18.33,2.10,0.20,-,-,-,-,-,22,23,81,29,52,28,27,26,..,58,21,37,24,22,12,..,..,127,53.10,17,4.60
עין מאהל,532,"2,644","13,834","13,829",0.10,20.20,99.90,100,-,-,"7,028","6,806",9.10,8.80,9.10,8.90,19.69,18.68,16.66,3.60,5.50,32.20,1.70,705.80,250,2.21,1.40,( 5.4),47,5.80,203,14.68,1.45,0.30,-,-,-,-,-,2,5,65,11,54,15,30,18,..,60,18,42,14,27,19,..,..,207,50.40,24,4
עין קנייא,"4,502",..,"2,438","2,419",-,..,100,-,0.60,99.40,"1,296","1,142",8.50,8.10,9.40,9.40,15.46,21.41,19.57,2.90,5.30,32.10,1.70,685.60,34,..,0.20,  ..,10,(7.2),24,9.92,1.64,0.50,-,-,-,-,-,12,13,24,6,18,5,8,11,..,11,..,9,..,7,4,..,..,32,50,12,12.20
עכו,"7,600","3,605.70","53,421","53,123",66.10,84.30,33.90,91.30,8.10,0.60,"26,069","27,352",7.20,7.80,7.60,6.80,13.63,20.80,16.26,5.40,14.60,26.70,5.50,783.70,780,2.11,2.40,( 3.0),399,6.49,381,7.17,2.01,20.40,844,24.88,42.65,25,7.46,541,-92,"1,343",647,696,265,414,603,61,"1,435",701,734,344,355,651,85,"4,236",654,34.40,225,11.30
עמנואל,"3,660","1,048.40","5,450","5,446",100,100,-,..,..,..,"2,770","2,680",19.80,15.80,10.10,8.10,16.44,15.19,7.17,2.60,4.70,51.20,1,"1,417.90",244,..,0.40,  ..,8,7.10,236,43.33,7.23,3.10,..,0,..,..,0,149,148,408,218,190,185,142,73,8,260,124,136,116,79,56,9,284,51,65,16,10.10
עספיא,534,"1,186.10","13,149","13,109",1.60,55.20,98.40,8.30,12.10,79.60,"6,400","6,750",6.50,7.30,7.40,7.50,15.18,21.47,18.66,4.80,11.20,25.70,4.10,663.60,143,1.41,0.20,  ..,55,5.10,88,6.71,-0.15,1.60,..,0,0,0,..,-100,-99,160,66,94,35,43,77,5,259,90,169,62,79,112,6,84,143,34.90,58,9.90
עפולה,"7,700","2,177.30","64,579","64,074",98.60,91,1.40,80.90,17.10,2,"31,244","33,334",10.60,9.20,7.20,5.90,13.23,19.23,14.54,4.80,15.30,30.60,6,931.50,"1,245",2.90,2,( 1.6),359,5.27,886,13.83,2.91,20.60,228,33.77,31.58,20.61,14.04,966,803,"2,861","1,432","1,429",829,769,"1,072",191,"2,058","1,074",984,610,559,797,92,"4,844",570,27.10,255,11
עראבה,531,"3,192.20","26,810","26,800",0.10,9.30,99.90,98.90,1.10,-,"13,483","13,327",8.90,9.40,9.70,9.90,17.45,19.79,15.40,3.40,6.10,33.90,2,784.40,474,2.28,1,( 2.0),81,5.52,393,14.66,1.35,0.40,..,..,0,0,0,-36,-16,163,52,111,41,64,55,..,179,54,125,42,66,69,..,56,321,40.60,82,7.40
ערד,"2,560",232.50,"29,323","28,998",93.10,85,6.90,97.90,1.50,0.50,"14,689","14,634",12.70,11,8.20,6.50,14.48,15.42,13.18,4,14.40,35.80,7,"1,123.30",751,4.14,2.40,( 3.2),203,5.58,548,18.90,4.16,25.60,200,24,45.50,22.50,8,426,71,"1,127",627,500,345,497,234,51,"1,056",537,519,305,256,407,88,"1,982",221,24.80,84,8.10
ערערה,637,..,"20,443","20,419",0.10,17.40,99.90,100,-,-,"10,479","9,964",9.10,8.70,9.40,9.60,17.63,18.86,16.20,3.80,6.70,32.90,2.30,769.30,363,2.44,1.60,( 4.3),78,4.70,285,13.96,1.21,0.50,..,..,0,0,0,-54,-56,176,56,120,47,78,51,..,232,64,168,77,91,64,..,36,265,32.40,45,4.30
ערערה-בנגב,"1,192","1,476.20","20,706","20,703",0.10,34.30,99.90,100,-,-,"10,247","10,459",15.90,13.50,12.40,11.20,19.79,14.83,8.88,1.30,2.20,48.50,0.60,"1,229.80",684,4.71,5.40, 7.9,35,6.30,649,31.35,3.44,0.30,-,-,-,-,-,12,..,..,..,..,..,..,..,..,4,..,..,..,..,..,..,..,306,54.40,29,5.30
פוריידיס,537,"3,292.20","13,356","13,339",0.10,41.70,99.90,99.90,0.10,-,"6,679","6,677",8,9.60,8.50,8.60,17.25,20.12,17.02,4.20,6.70,31.50,2.30,708.10,212,2.06,1.20,( 5.2),54,6.60,158,11.84,0.79,0.50,-,-,-,-,-,-48,-43,42,9,33,7,18,16,..,85,31,54,20,34,31,..,12,190,47.30,50,8.70
פסוטה,535,..,"3,387","3,379",0.10,-,99.90,0.20,99.80,-,"1,681","1,707",5.80,8.40,6.50,7,13.23,23.38,18.90,5.20,11.70,25.40,4.30,647.40,33,..,   -,   -,21,(6.2),12,3.55,0.45,0.80,-,-,-,-,-,-1,5,39,13,26,9,16,14,..,34,11,23,8,8,18,..,..,36,34.10,-,..
פקיעין (בוקייעה),536,"1,070.10","6,055","6,040",-,49,100,1.10,19.70,79.10,"3,108","2,946",6.50,7.50,7,7.20,16.80,21.62,17.77,5.40,10.30,25.20,3.80,624.60,95,..,0.20,  ..,27,5.20,68,11.26,1.05,0.20,-,-,-,-,-,3,0,68,27,41,5,25,35,..,68,28,40,18,24,25,..,..,76,44.90,13,4.30
פרדס חנה-כרכור,"7,800","2,022.40","45,712","45,259",99.90,97.10,0.10,74.90,12.10,13,"22,068","23,644",7.50,9.90,9.60,7.90,9.59,19.03,18.99,4.30,13.10,32,5.50,927.20,562,2.36,1,( 1.6),208,4.50,354,7.82,2.64,11.10,54,37.04,40.74,11.11,11.11,852,874,"2,408","1,149","1,259",719,324,"1,233",132,"1,534",772,762,387,380,690,77,"1,903",255,16.10,145,8.70
פרדסייה,171,"5,394","7,950","7,915",100,98.90,-,100,-,-,"4,049","3,901",7.90,10.40,8.50,7.40,10.21,18.64,17.38,5.30,14.10,31.50,3.70,939,97,..,   -,   -,16,2.50,81,10.23,0.83,4.30,-,-,-,-,-,-40,-10,302,160,142,106,43,145,8,312,170,142,68,82,150,12,143,56,26.60,30,9.10
פתח תקווה,"7,900","7,450.20","267,196","258,690",99.70,91.90,0.30,95,4,1,"131,502","135,694",7.40,8.30,8.10,7.10,11.39,19.19,17.70,4.20,16.70,28.10,7.80,906.70,"3,700",2.46,7.60, 1.9,"1,653",4.53,"2,047",7.91,0.52,18.60,843,23.61,39.50,25.15,11.74,-504,-983,"6,477","3,339","3,138","1,520","1,722","2,742",493,"7,460","3,880","3,580","1,981","2,044","3,044",391,"11,475","2,015",23.30,867,8.30
צור הדסה,"1,113","3,341.80","10,473","10,447",99.70,95.50,0.30,38.20,45.10,16.80,"5,198","5,274",9.60,12.80,10.40,7.90,10.04,20.66,17.12,3.90,7.60,37.70,2.60,932.50,148,2.20,..,..,22,3.20,126,12.06,-0.81,11.60,20,30,30,25,15,-212,-149,278,149,129,79,49,141,9,427,226,201,131,137,151,8,249,..,..,..,..
צפת,"8,000","1,308.60","39,179","38,853",97.90,95.70,2.10,82.60,14.70,2.70,"19,991","19,187",13.40,11.80,10.50,9.60,15.06,14.60,11.39,3.60,10.10,41.40,4.10,"1,239.90","1,102",4.68,2.40,( 2.3),182,5.67,920,23.68,2.10,12.50,99,24.24,41.41,21.21,13.13,-287,-430,"1,460",774,686,547,543,333,37,"1,890",963,927,636,577,587,90,"2,163",518,45.40,137,10.60
קדומים,"3,557",..,"4,539","4,529",100,99.60,-,..,..,..,"2,309","2,230",10,12.70,14,12.50,11.99,15.64,11.15,2.60,9.40,44.20,3,"1,416.90",88,..,0.20,  ..,18,3.80,70,15.46,0.98,5.10,..,0,..,0,..,-42,-39,128,66,62,51,35,39,..,167,78,89,49,63,52,..,115,68,64.50,20,11.40
קדימה-צורן,195,"2,072.20","22,471","22,104",99.90,98,0.10,95.20,4.80,-,"11,358","11,113",6.10,8.70,9.90,9.40,12.42,16.17,21.73,5.50,10.20,30.50,3.90,793.30,231,2.24,0.20,  ..,67,3.70,164,7.42,0.54,6.80,27,37.04,33.33,22.22,7.41,-71,-12,770,424,346,205,130,386,49,782,386,396,165,268,314,35,566,122,15.40,77,8.30
קלנסווה,638,"2,932.70","24,727","24,546",0.10,55.90,99.90,100,-,-,"12,634","12,093",10.10,10.50,10.40,10.30,18.63,19.19,13.32,3,4.60,37.10,1.50,847.20,447,2.26,1,( 2.1),65,6.20,382,15.56,1.45,0.60,-,-,-,-,-,-7,-18,262,120,142,130,63,68,..,280,121,159,118,79,82,..,27,342,48.10,60,6.40
קצרין,"4,100",738.60,"8,043","8,008",99,84,1,83.10,5.10,11.80,"4,090","3,954",7,7.90,8.70,7.90,12.50,17.89,17.27,5.30,15.60,28.50,6,887.40,91,..,0.40,  ..,51,5,40,5.00,1.81,28.90,54,22.22,44.44,20.37,12.96,65,29,356,188,168,103,84,148,21,327,151,176,87,93,130,17,456,72,25.40,28,9.20
קריית אונו,"2,620","8,059.90","43,310","42,400",99.90,97.30,0.10,95.80,1.60,2.60,"21,107","22,203",6.40,8.20,9.10,7.80,10.22,17.67,20.37,3.90,16.30,28.70,8.10,916.80,454,2.08,0.40,  ..,238,3.77,216,5.09,1.96,7.30,66,16.67,33.33,33.33,16.67,677,714,"2,310","1,160","1,150",658,353,"1,157",142,"1,596",785,811,342,394,724,136,"1,751",226,15.80,114,6.50
קריית ארבע,"3,611","1,706.60","7,573","7,546",100,97.80,-,31.80,68.70,-,"3,678","3,895",11.70,10.40,10.90,9,17.13,15.08,11.29,3.60,10.90,38.70,4.20,"1,124.90",223,..,0.60,  ..,27,5,196,25.97,1.26,16,11,0,36.36,27.27,36.36,-110,-124,279,148,131,77,120,73,9,403,211,192,160,145,85,13,364,128,56.30,26,10
קריית אתא,"6,800","2,565.10","62,135","61,628",99.70,92.20,0.30,71.50,21.20,7.30,"30,329","31,805",7.70,7.90,7,6.50,12.17,18.63,16.60,5.40,18,26.70,7.50,894.50,892,2.37,1.80,( 2.0),453,5.15,439,7.12,1.42,16.60,126,24.60,42.06,26.19,7.14,409,315,"2,274","1,140","1,134",633,620,885,136,"1,959","1,039",920,516,495,829,119,"3,449",610,28.20,252,10
קריית ביאליק,"9,500","5,482.50","46,416","45,764",99.80,89.40,0.20,65.60,32.50,1.90,"22,078","24,338",7.10,7.80,6.80,5.70,10.16,20.64,16.33,4.70,20.80,25.30,9.50,928.70,644,2.25,0.80,  ..,343,4.85,301,6.58,1.68,22.80,195,24.62,32.82,30.26,12.31,532,373,"2,252","1,089","1,163",491,483,"1,115",163,"1,879",927,952,429,468,822,160,"1,760",373,22.90,156,8.60
