שם יישוב,סמל היישוב,"צפיפות אוכלוסייה לקמ''ר ביישובים שמנו 5,000 תושבים ויותר","סה""כ  אוכלוסייה בסוף השנה",סך כל הישראלים,יהודים ואחרים (אחוזים מתוך כלל אוכלוסיית הישראלים),"יהודים 
(אחוזים מתוך יהודים ואחרים)",ערבים (אחוזים מתוך כלל אוכלוסיית הישראלים),מוסלמים (אחוזים מתוך האוכלוסייה הערבית),נוצרים (אחוזים מתוך האוכלוסייה הערבית),דרוזים (אחוזים מתוך האוכלוסייה הערבית),"סה""כ גברים בסוף השנה","סה""כ נשים בסוף השנה",אחוז באוכלוסייה בסוף השנה בני 4-0,אחוז באוכלוסייה בסוף השנה בני 9-5,אחוז באוכלוסייה בסוף השנה בני 14-10,אחוז באוכלוסייה בסוף השנה בני 19-15,אחוז באוכלוסייה בסוף השנה בני 29-20,אחוז באוכלוסייה בסוף השנה בני 44-30,אחוז באוכלוסייה בסוף השנה בני 59-45,אחוז באוכלוסייה בסוף השנה בני 64-60,אחוז באוכלוסייה בסוף השנה בני 65 ומעלה,אחוז באוכלוסייה בסוף השנה בני 17-0,אחוז באוכלוסייה בסוף השנה בני 75 ומעלה,"יחס תלות (ל-1,000 תושבים בלתי תלויים)",לידות חי,שיעור פריון כולל,פטירות תינוקות (ממוצע),"שיעור פטירות תינוקות ל-1,000 לידות חי",פטירות,"שיעור פטירות מתוקנן ל-1,000 תושבים","ריבוי טבעי
סה""כ","ריבוי טבעי  ל-1,000 תושבים",אחוז גידול האוכלוסייה לעומת השנה הקודמת,אחוז עולי 1990+ מסך האוכלוסייה,השתקעות ראשונה של עולים,אחוז עולים בהשתקעות ראשונה בני 17-0,אחוז עולים בהשתקעות ראשונה בני 44-18,אחוז עולים בהשתקעות ראשונה בני 64-45,אחוז עולים בהשתקעות ראשונה בני 65 ומעלה,"מאזן הגירה ביישוב
סה""כ",מאזן הגירה פנימית,"נכנסים מיישובים אחרים סה""כ",נכנסים מיישובים אחרים גברים,נכנסים מיישובים אחרים נשים,נכנסים מיישובים אחרים עד גיל 14,נכנסים מיישובים אחרים גיל 29-15,נכנסים מיישובים אחרים גיל 64-30,נכנסים מיישובים אחרים גיל 65 ומעלה,"יוצאים ליישובים אחרים סה""כ",יוצאים ליישובים אחרים גברים,יוצאים ליישובים אחרים נשים,יוצאים ליישובים אחרים עד גיל 14,יוצאים ליישובים אחרים גיל 29-15,יוצאים ליישובים אחרים גיל 64-30,יוצאים ליישובים אחרים גיל 65 ומעלה,הגירה בתוך הרשות המקומית,"נישאים סה""כ גברים ונשים","נישאים שיעור ל-1,000 תושבים לא נשואים בני 15 ומעלה","מתגרשים סה""כ גברים ונשים","מתגרשים שיעור ל-1,000 תושבים נשואים בני 15 ומעלה"
בית ג'ן,480,"1,705.90","12,286","12,282",-,-,100,0.10,-,99.90,"6,193","6,092",7.80,7.70,7.60,8,15.73,24.39,16.73,4.20,7.90,27.70,2.80,637.80,170,1.60,   -,   -,42,4.60,128,10.42,1.06,0.20,-,-,-,-,-,-1,-6,78,26,52,17,27,34,..,84,21,63,10,37,37,..,9,182,48.20,10,1.80
בית דגן,466,"4,109.80","7,661","7,586",99.90,97.60,0.10,100,-,-,"3,845","3,816",6.90,7,7.30,8,13.60,18.84,19.58,5.40,13.50,26,5.40,741.50,106,..,0.20,  ..,39,4.20,67,8.83,-0.09,5.70,..,..,0,..,0,-53,-30,277,145,132,67,78,111,21,307,158,149,81,75,133,18,166,58,20.30,34,10.90
בית שאן,"9,200","1,846.10","20,249","19,877",98.80,98.40,1.20,99,0.20,0.70,"10,137","10,111",9.30,8.40,7.70,7.50,15.04,18.11,15.22,5.30,13.40,29.90,4.50,864.50,403,3.04,0.60,  ..,109,5.98,294,14.79,1.20,5.10,17,29.41,35.29,35.29,0,-140,-142,463,253,210,118,151,180,14,605,292,313,205,155,228,17,924,293,44,84,11.40
בית שמש,"2,610","4,369.80","167,318","164,487",99.90,99.10,0.10,78.50,20.70,0.80,"84,581","82,737",18.20,15.30,11.60,9.70,15.29,15.69,8.28,1.80,4.20,50.70,1.70,"1,437.80","6,082",5.74,17.60, 3.5,285,4.75,"5,797",35.24,7.09,13.80,547,37.48,36.75,10.97,14.81,"5,018","4,524","9,584","5,104","4,480","4,436","3,354","1,676",118,"5,060","2,786","2,274","2,123","1,749","1,105",83,"10,256","2,216",78.40,301,5.80
ביתר עילית,"3,780","13,955","69,281","68,795",100,100,-,-,-,100,"35,056","34,225",18,16,14.60,12.30,14.67,14.37,7.63,0.90,1.50,56.30,0.50,"1,658.60","2,630",6.24,5.60, 2.2,48,4.88,"2,582",37.53,4.69,4.20,56,33.93,55.36,5.36,5.36,527,513,"3,260","1,896","1,364","1,442","1,241",513,64,"2,747","1,524","1,223","1,230","1,061",435,21,"3,833","1,203",115.80,137,6.70
בני ברק,"6,100","30,454.60","223,786","218,611",99.90,99.50,0.10,98.10,1.90,-,"115,009","108,777",16.50,13.90,11.40,9.60,15.71,15.22,8.23,2.20,7.20,47.50,3,"1,417.80","8,196",5.98,20, 2.5,579,4.97,"7,617",34.84,1.49,3.40,161,28.57,60.25,6.21,4.97,"-4,215","-4,148","4,239","2,481","1,758","1,413","1,862",846,118,"8,386","4,731","3,655","3,387","3,058","1,688",253,"11,757","3,725",80.10,365,4.60
"בני עי""ש","1,066","3,364.30","6,660","6,545",99,82.80,1,95.50,-,4.50,"3,197","3,464",6.50,6.70,5.70,5.30,13.08,18.15,17.46,6.60,20.50,22.10,9.80,807.60,91,..,   -,   -,56,5,35,5.35,-1.65,40.30,21,23.81,42.86,9.52,23.81,-148,-162,144,79,65,26,42,56,20,306,164,142,87,77,112,30,172,54,21.70,11,3.60
בנימינה-גבעת עדה,"9,800",631.60,"15,408","15,279",99.70,96.80,0.30,94.80,5.20,-,"7,717","7,691",6,8.70,11.20,10.90,10.68,16.36,22.33,4.10,9.80,32.40,3.70,869.20,129,1.83,   -,   -,59,4.30,70,4.58,0.12,6.90,19,63.16,21.05,0,15.79,-78,-59,533,251,282,179,57,280,17,592,299,293,119,177,264,32,477,61,10.70,58,9.40
"בסמ""ה","1,326","2,071.40","11,734","11,728",-,39.80,100,100,-,-,"6,029","5,704",10.30,9.70,9.80,9.20,19.85,18.57,13.61,3.30,5.70,35.10,1.80,806.30,264,2.76,1.40,( 5.6),29,5.40,235,20.04,2.37,0.80,-,-,-,-,-,45,24,97,34,63,37,35,24,..,73,18,55,19,40,13,..,46,183,62.90,30,6.70
בסמת טבעון,944,"2,018.70","8,176","8,170",0.20,57.70,99.80,100,-,-,"4,039","4,137",9.30,9.80,9.60,10.20,15.09,19.26,16.57,3.70,6.50,34.30,2.40,831.50,145,..,0.20,  ..,36,5.80,109,13.34,1.01,0.20,-,-,-,-,-,-31,-37,50,12,38,13,21,16,..,87,26,61,17,42,28,..,42,86,31.40,12,3.70
